Wavelength,Intensity
366.149,0.005
375.27,0.004
382.732,0.004
401.758,0.006
413.412,0.032
418.387,0.06
421.703,0.089
424.191,0.118
426.264,0.145
427.922,0.173
429.58,0.201
431.101,0.239
432.897,0.281
434.555,0.336
435.799,0.374
436.352,0.406
437.458,0.44
438.01,0.463
438.701,0.498
439.116,0.523
439.669,0.545
440.36,0.589
440.774,0.625
441.327,0.65
442.156,0.693
442.847,0.772
442.847,0.732
444.091,0.835
444.091,0.802
444.835,0.873
445.749,0.923
447.822,0.988
452.747,0.92
453.488,0.839
453.626,0.876
454.456,0.8
454.456,0.769
455.285,0.739
455.976,0.7
456.528,0.669
457.358,0.652
457.91,0.62
459.292,0.573
462.418,0.511
464.406,0.438
465.649,0.407
467.308,0.373
468.137,0.347
470.21,0.312
473.526,0.269
479.745,0.247
486.793,0.262
491.354,0.289
495.085,0.319
498.263,0.344
502.547,0.374
507.937,0.406
514.156,0.433
522.033,0.459
531.154,0.477
540.275,0.486
549.396,0.493
558.516,0.496
567.637,0.497
576.758,0.494
585.879,0.484
595,0.464
604.535,0.432
610.754,0.405
616.558,0.378
621.948,0.35
626.923,0.323
631.898,0.296
636.873,0.268
641.848,0.242
647.238,0.216
654.286,0.181
660.919,0.154
668.382,0.126
677.088,0.101
686.209,0.078
695.33,0.061
705.28,0.046
714.401,0.036
723.521,0.028
732.642,0.022
741.763,0.017
751.161,0.015
760.005,0.012
769.126,0.011
778.247,0.009
787.368,0.008
795.245,0.007
