Wavelength,V_photopic,V_scotopic
380,3.90E-05,5.89E-04
385,6.40E-05,0.001108
390,1.20E-04,0.002209
395,2.17E-04,0.00453
400,3.96E-04,0.00929
405,6.40E-04,0.01852
410,0.00121,0.03484
415,0.00218,0.0604
420,0.004,0.0966
425,0.0073,0.1436
430,0.0116,0.1998
435,0.01684,0.2625
440,0.023,0.3281
445,0.0298,0.3931
450,0.038,0.455
455,0.048,0.513
460,0.06,0.567
465,0.0739,0.62
470,0.09098,0.676
475,0.1126,0.734
480,0.13902,0.793
485,0.1693,0.851
490,0.20802,0.904
495,0.2586,0.949
500,0.323,0.982
505,0.4073,0.998
510,0.503,0.997
515,0.6082,0.975
520,0.71,0.935
525,0.7932,0.88
530,0.862,0.811
535,0.91485,0.733
540,0.954,0.65
545,0.9803,0.564
550,0.99495,0.481
555,1,0.402
560,0.995,0.3288
565,0.9786,0.2639
570,0.952,0.2076
575,0.9154,0.1602
580,0.87,0.1212
585,0.8163,0.0899
590,0.757,0.0655
595,0.6949,0.0469
600,0.631,0.03315
605,0.5668,0.02312
610,0.503,0.01593
615,0.4412,0.01088
620,0.381,0.00737
625,0.321,0.00497
630,0.265,0.003335
635,0.217,0.002235
640,0.175,0.001497
645,0.1382,0.001005
650,0.107,6.77E-04
655,0.0816,4.59E-04
660,0.061,3.13E-04
665,0.04458,2.15E-04
670,0.032,1.48E-04
675,0.0232,1.03E-04
680,0.017,7.15E-05
685,0.01192,5.01E-05
690,0.00821,3.53E-05
695,0.005723,2.50E-05
700,0.004102,1.78E-05
705,0.002929,1.27E-05
710,0.002091,9.14E-06
715,0.001484,6.60E-06
720,0.001047,4.78E-06
725,7.40E-04,3.48E-06
730,5.20E-04,2.55E-06
735,0,1.87E-06
740,0,1.38E-06
745,0,1.02E-06
750,0,7.60E-07
755,0,5.67E-07
760,0,4.25E-07
765,0,3.20E-07
770,0,2.41E-07
775,0,1.83E-07
780,0,1.39E-07
